fecha,region,establecimiento,administracion,subsistema,regimen_control,tipo_poblacion,poblacion,sexo,atendidos
30/11/2024,Región de Valparaíso,C.R.S. Quillota,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región del Biobío,C.R.S. Cañete,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región de Aysén del General Carlos Ibáñez del Campo,C.R.S. Coyhaique,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región de Valparaíso,C.R.S. San Antonio,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región Metropolitana,C.R.S. Santiago Oriente,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región de Los Ríos,C.R.S. Valdivia,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región del Maule,C.R.S. Curicó,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región de Atacama,C.R.S. Copiapó,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región Metropolitana,C.R.S. Santiago Occidente,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región del Biobío,C.R.S. Los Ángeles,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región de Los Lagos,C.R.S. Puerto Montt,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región del Libertador Bernardo O'Higgins,C.R.S. Rancagua,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región de Los Lagos,C.R.S. Osorno,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región de Valparaíso,C.R.S. Valparaíso,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Reclusión Parcial de Fin de Semana en Domicilio - MT (Pena Sustitutiva),Hombre,1
30/11/2024,Región del Biobío,C.R.S. Cañete,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Hombre,1
30/11/2024,Región de Los Ríos,C.R.S. Valdivia,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
30/11/2024,Región de Atacama,C.R.S. Vallenar,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
30/11/2024,Región de Magallanes y la Antártica Chilena,C.R.S. Punta Arenas,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
30/11/2024,Región de Antofagasta,C.R.S. Calama,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
30/11/2024,Región de Coquimbo,C.R.S. Ovalle,Tradicional,Subsistema Abierto,Régimen de Control Abierto,Penas Sustitutivas,Libertad Vigilada por Interrupción de la Pena - Pena Mixta,Mujer,1
